,Name,Strand,Start,Stop,Note,Genome,Counts
0,thrL,+,190,255,thr operon leader peptide,NC_000913.2,12
1,thrA,+,337,2799,bifunctional: aspartokinase I (N-terminal)%3B homoserine dehydrogenase I (C-terminal),NC_000913.2,11676
2,thrB,+,2801,3733,homoserine kinase,NC_000913.2,10918
3,thrC,+,3734,5020,threonine synthase,NC_000913.2,3442
4,yaaX,+,5234,5530,hypothetical protein,NC_000913.2,44
5,talB,+,8238,9191,transaldolase B,NC_000913.2,5219
6,mog,+,9306,9893,putative molybdochetalase in molybdopterine biosynthesis,NC_000913.2,760
7,dnaK,+,12163,14079,chaperone Hsp70%3B DNA biosynthesis%3B autoregulated heat shock proteins,NC_000913.2,51704
8,dnaJ,+,14168,15298,chaperone with DnaK%3B heat shock protein,NC_000913.2,10374
9,insL1,+,15445,16557,IS186 transposase,NC_000913.2,8724
10,nhaA,+,17489,18655,Na+/H antiporter%2C pH dependent,NC_000913.2,1293
11,nhaR,+,18715,19620,transcriptional activator of nhaA,NC_000913.2,196
12,yaaY,+,21181,21399,hypothetical protein,NC_000913.2,20
13,ribF,+,21407,22348,bifunctional riboflavin kinase/FAD synthetase,NC_000913.2,3568
14,ileS,+,22391,25207,isoleucine tRNA synthetase,NC_000913.2,24259
15,lspA,+,25207,25701,prolipoprotein signal peptidase (SPase II),NC_000913.2,2916
16,fkpB,+,25826,26275,FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase),NC_000913.2,219
17,ispH,+,26277,27227,4-hydroxy-3-methylbut-2-enyl diphosphate reductase%2C 4Fe-4S protein,NC_000913.2,1722
18,rihC,+,27293,28207,ribonucleoside hydrolase 3,NC_000913.2,353
19,dapB,+,28374,29195,dihydrodipicolinate reductase,NC_000913.2,467
20,carA,+,29651,30799,carbamoyl phosphate synthetase small subunit%2C glutamine amidotransferase,NC_000913.2,1657
21,carB,+,30817,34038,carbamoyl-phosphate synthase large subunit,NC_000913.2,5739
22,caiF,+,34300,34695,transcriptional regulator of cai operon,NC_000913.2,28
23,fixA,+,42403,43173,probable flavoprotein subunit%2C carnitine metabolism,NC_000913.2,15
24,fixB,+,43188,44129,probable flavoprotein subunit%2C carnitine metabolism,NC_000913.2,7
25,fixC,+,44180,45466,flavoprotein%3B electron transport,NC_000913.2,35
26,fixX,+,45463,45750,putative ferredoxin,NC_000913.2,6
27,yaaU,+,45807,47138,putative transport protein,NC_000913.2,17
28,kefF,+,47246,47776,putative NAD(P)H oxidoreductase,NC_000913.2,31
29,kefC,+,47769,49631,K+ efflux antiporter%2C glutathione-regulated,NC_000913.2,284
30,folA,+,49823,50302,dihydrofolate reductase type I%3B trimethoprim resistance,NC_000913.2,88
31,djlA,+,57364,58179,DnaJ-like protein%2C membrane anchored,NC_000913.2,455
32,yabP,+,58474,59052,pseudogene,NC_000913.2,47
33,yabP,+,59052,59228,pseudogene,NC_000913.2,4
34,yabP,+,59228,59269,pseudogene,NC_000913.2,3
35,araC,+,70387,71265,transcriptional regulator for ara operon,NC_000913.2,1953
36,yabI,+,71351,72115,inner membrane protein%2C SNARE_assoc family,NC_000913.2,732
37,sgrT,+,77388,77519,Inhibitor of glucose uptake,NC_000913.2,1
38,setA,+,77621,78799,broad specificity sugar efflux system,NC_000913.2,997
39,leuO,+,84368,85312,probable transcriptional activator for leuABCD operon,NC_000913.2,5
40,ilvI,+,85630,87354,acetolactate synthase III%2C valine sensitive%2C large subunit,NC_000913.2,440
