,Name,Strand,Start,Stop,Note,Genome,Counts
0,Capsule_rev,-,1,1290,capsule reverse,capsule,2825
1,yaaA,-,5683,6459,peroxide resistance protein%2C lowers intracellular iron,ecoli,722
2,yaaJ,-,6529,7959,inner membrane transport protein,ecoli,1878
3,yaaH,-,9928,10494,inner membrane protein%2C Grp1_Fun34_YaaH family,ecoli,241
4,yaaW,-,10643,11356,conserved protein%2C UPF0174 family,ecoli,76
5,yaaI,-,11382,11786,conserved protein%2C UPF0412 family,ecoli,1
6,mokC,-,16751,16960,regulatory peptide whose translation enables hokC (gef) expression,ecoli,292
7,hokC,-,16751,16903,small toxic membrane polypeptide,ecoli,0
8,insB1,-,19811,20314,IS1 transposase B,ecoli,0
9,insA,-,20233,20508,IS1 repressor TnpA,ecoli,3
10,rpsT,-,20815,21078,30S ribosomal subunit protein S20,ecoli,8187
11,caiE,-,34781,35371,possible synthesis of cofactor for carnitine racemase and dehydratase,ecoli,80
12,caiD,-,35377,36162,carnitine racemase,ecoli,60
13,caiC,-,36271,37824,probable crotonobetaine/carnitine-CoA ligase,ecoli,144
14,caiB,-,37898,39115,l-carnitine dehydratase,ecoli,130
15,caiA,-,39244,40386,probable carnitine operon oxidoreductase,ecoli,243
16,caiT,-,40417,41931,probable carnitine transporter,ecoli,25
17,apaH,-,50380,51222,diadenosine tetraphosphatase,ecoli,628
18,apaG,-,51229,51606,protein associated with Co2+ and Mg2+ efflux,ecoli,582
19,rsmA,-,51609,52430,16S rRNA m(6)A1518%2C m(6)A1519 dimethyltransferase%2C SAM-dependent,ecoli,1409
20,pdxA,-,52427,53416,pyridoxine biosynthesis,ecoli,1177
21,surA,-,53416,54702,survival protein,ecoli,3020
22,lptD,-,54755,57109,organic solvent tolerance,ecoli,4604
23,rluA,-,59687,60346,dual specificity 23S rRNA pseudouridine(746)%2C tRNA pseudouridine(32) synthase%2C SAM-dependent,ecoli,386
24,rapA,-,60358,63264,probable ATP-dependent RNA helicase,ecoli,1076
25,polB,-,63429,65780,DNA polymerase II,ecoli,559
26,araD,-,65855,66550,L-ribulose-5-phosphate 4-epimerase,ecoli,67
27,araA,-,66835,68337,L-arabinose isomerase,ecoli,522
28,araB,-,68348,70048,L-ribulokinase,ecoli,320
29,thiQ,-,72229,72927,putative ATP-binding component of a transport system,ecoli,92
30,thiP,-,72911,74521,fused thiamin transporter subunits of ABC superfamily: membrane components,ecoli,142
31,thiB,-,74497,75480,thiamin-binding periplasmic protein%3B periplasmic-binding component of ABC superfamily,ecoli,329
