,Name,Strand,Start,Stop,Note,Genome,Counts
0,thrL,+,190,255,thr operon leader peptide,ecoli,237
1,thrA,+,337,2799,bifunctional: aspartokinase I (N-terminal)%3B homoserine dehydrogenase I (C-terminal),ecoli,2914
2,thrB,+,2801,3733,homoserine kinase,ecoli,1747
3,thrC,+,3734,5020,threonine synthase,ecoli,1879
4,yaaX,+,5234,5530,hypothetical protein,ecoli,16
5,talB,+,8238,9191,transaldolase B,ecoli,2404
6,mog,+,9306,9893,putative molybdochetalase in molybdopterine biosynthesis,ecoli,396
7,dnaK,+,12163,14079,chaperone Hsp70%3B DNA biosynthesis%3B autoregulated heat shock proteins,ecoli,25776
8,dnaJ,+,14168,15298,chaperone with DnaK%3B heat shock protein,ecoli,3559
9,insL1,+,15445,16557,IS186 transposase,ecoli,1199
10,nhaA,+,17489,18655,Na+/H antiporter%2C pH dependent,ecoli,380
11,nhaR,+,18715,19620,transcriptional activator of nhaA,ecoli,309
12,yaaY,+,21181,21399,hypothetical protein,ecoli,70
13,ribF,+,21407,22348,bifunctional riboflavin kinase/FAD synthetase,ecoli,1460
14,ileS,+,22391,25207,isoleucine tRNA synthetase,ecoli,10580
15,lspA,+,25207,25701,prolipoprotein signal peptidase (SPase II),ecoli,1165
16,fkpB,+,25826,26275,FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase),ecoli,600
17,ispH,+,26277,27227,4-hydroxy-3-methylbut-2-enyl diphosphate reductase%2C 4Fe-4S protein,ecoli,1387
18,rihC,+,27293,28207,ribonucleoside hydrolase 3,ecoli,179
19,dapB,+,28374,29195,dihydrodipicolinate reductase,ecoli,313
20,carA,+,29651,30799,carbamoyl phosphate synthetase small subunit%2C glutamine amidotransferase,ecoli,291
21,carB,+,30817,34038,carbamoyl-phosphate synthase large subunit,ecoli,1180
22,caiF,+,34300,34695,transcriptional regulator of cai operon,ecoli,83
23,fixA,+,42403,43173,probable flavoprotein subunit%2C carnitine metabolism,ecoli,43
24,fixB,+,43188,44129,probable flavoprotein subunit%2C carnitine metabolism,ecoli,27
25,fixC,+,44180,45466,flavoprotein%3B electron transport,ecoli,52
26,fixX,+,45463,45750,putative ferredoxin,ecoli,12
27,yaaU,+,45807,47138,putative transport protein,ecoli,82
28,kefF,+,47246,47776,putative NAD(P)H oxidoreductase,ecoli,49
29,kefC,+,47769,49631,K+ efflux antiporter%2C glutathione-regulated,ecoli,211
30,folA,+,49823,50302,dihydrofolate reductase type I%3B trimethoprim resistance,ecoli,60
31,djlA,+,57364,58179,DnaJ-like protein%2C membrane anchored,ecoli,150
32,yabP,+,58474,59052,pseudogene,ecoli,118
33,yabP,+,59052,59228,pseudogene,ecoli,10
34,yabP,+,59228,59269,pseudogene,ecoli,6
35,araC,+,70387,71265,transcriptional regulator for ara operon,ecoli,643
36,yabI,+,71351,72115,inner membrane protein%2C SNARE_assoc family,ecoli,273
37,sgrT,+,77388,77519,Inhibitor of glucose uptake,ecoli,83
38,setA,+,77621,78799,broad specificity sugar efflux system,ecoli,231
39,leuO,+,84368,85312,probable transcriptional activator for leuABCD operon,ecoli,36
40,ilvI,+,85630,87354,acetolactate synthase III%2C valine sensitive%2C large subunit,ecoli,167
41,ilvH,+,87357,87848,acetolactate synthase III%2C valine sensitive%2C small subunit,ecoli,60
42,cra,+,88028,89032,transcriptional repressor of fru operon and others,ecoli,451
43,mraZ,+,89634,90092,RsmH methytransferase inhibitor,ecoli,1016
44,rsmH,+,90094,91035,putative apolipoprotein,ecoli,1799
45,ftsL,+,91032,91397,cell division protein%3B ingrowth of wall at septum,ecoli,577
46,ftsI,+,91413,93179,septum formation%3B penicillin-binding protein 3%3B peptidoglycan synthetase,ecoli,2441
